objid,n_sources,grade,thetaE,thetaE_err,mag_g,mag_r,mag_i,mag_z,g_exp_time,g_mag_zero,r_exp_time,r_mag_zero,i_exp_time,i_mag_zero,z_exp_time,z_mag_zero
10933200047181.0,3,C,3.629556150356245,0.5738085285672868,21.588037,20.540285,19.928097,19.666693,300.0,32.6398,60.0,31.231281,300.0,32.919807,60.0,30.921247
10743400088019.0,1,C,4.4263576710191215,0.5150786176089027,19.50884,18.427872,17.93877,17.690117,90.0,31.573017,60.0,31.291565,90.0,31.657532,120.0,31.694084
10818400058099.0,2,A,2.474455436303338,0.3647266175463329,21.392586,20.044401,18.462975,17.974705,90.0,31.562065,250.0,32.74769,200.0,32.47438,77.0,31.052814
10804700118953.0,2,B,3.5535663663025847,0.3858262209353226,21.464525,21.187096,20.903889000000003,21.05382,90.0,31.522627,90.0,31.694086,90.0,31.68428,96.0,31.393951
10664300060655.0,2,C,2.5662267264812897,0.4455055234143847,21.366531,20.593882,20.102654,20.015244,86.0,31.443527,45.0,30.820671,86.0,31.505188,100.0,31.52945
11024800215676.0,3,C,2.480122078427885,0.2683974642270049,20.609407,19.328968,18.757256,18.423864,100.0,31.557625,300.0,32.94945,100.0,31.734148,90.0,31.445253
10972600064726.0,6,B,3.4338156654601613,0.5228981315787632,19.831009,18.609789000000003,18.117659,17.802376000000002,240.0,32.457283,90.0,31.677866,90.0,31.581882,90.0,31.297623
10884500263208.0,1,A,2.6386869284013854,0.3728354155135525,20.47802,18.746342,18.210472,17.922482000000002,200.0,32.367172,200.0,32.556778,250.0,32.77931,160.0,32.02182
10806500055292.0,1,C,2.0648418786056686,0.3346868384571432,19.370277,18.764948,18.49934,18.569466,90.0,31.3064,31.0,30.514465,102.0,31.783495,49.0,30.68006
10628500044156.0,1,C,2.85405020310575,0.3883755728910866,19.959093,18.416643,18.006424,17.824793,82.0,31.272106,116.0,31.928385,192.0,32.466885,80.0,31.130268
10702800073701.0,1,C,2.7087338742440217,0.3778252929791365,17.865347,17.282753,16.994152,16.828156,120.0,31.828651,250.0,32.80919,90.0,31.665958,240.0,32.47648
10832200212990.0,2,C,3.0614208571315293,0.3663952116661758,20.115353,18.958538,18.647057,18.601982,90.0,31.587948,30.0,30.52223,90.0,31.672092,150.0,32.008698
11010500142093.0,1,A,3.0004727309923167,0.3992592216772018,20.674622,19.004131,18.453491,17.588877,90.0,31.475222,150.0,32.216,90.0,31.610792,90.0,31.391987
10729300154905.0,1,C,2.0005637123869646,0.3307599003404057,19.22488,19.039516,19.12351,19.042084,90.0,31.566776,30.0,30.45418,90.0,31.682732,56.0,30.839127
10821100103085.0,1,C,2.318438354004907,0.3509004474394552,21.507635,20.052015,19.33785,19.337826,90.0,31.559422,49.0,31.040562,240.0,32.744564,150.0,31.80054
10768400117577.0,2,C,3.3861554043000304,0.320399478909067,21.763802,20.075846,19.496872,19.340862,90.0,31.549263,125.0,32.0011,100.0,31.721329,56.0,30.83437
10907800208727.0,3,C,3.787295177382088,0.4911125518709606,21.976116,20.281746,19.52282,19.248520000000003,300.0,32.70145,150.0,32.147392,300.0,32.907173,300.0,32.625996
10689700019111.0,1,C,1.905869979489159,0.3251199221628537,19.659462,19.061117000000003,18.750992,18.138783,86.0,31.426067,86.0,31.563663,90.0,31.599026,115.0,31.616547
11025100394979.0,2,C,1.97393696017638,0.3441644048028137,21.958565,20.478615,19.707645,19.394178,100.0,31.631287,150.0,32.30647,90.0,31.636383,90.0,31.22948
10821000092378.0,2,C,2.666375988365231,0.2634171685032824,19.814371,18.528835,18.020323,17.616552,90.0,31.57059,131.0,32.133797,90.0,31.593565,150.0,31.805315
10791900160251.0,2,C,2.8362599372031267,0.2747758208001866,21.245022,19.610184,19.006123,18.448854,90.0,31.432516,72.0,31.421473,90.0,31.641756,100.0,31.432224
10676700005304.0,2,B,2.5724630356485383,0.2679086524883355,21.765747,20.437708,19.845339000000003,19.47105,110.0,31.517866,40.0,30.654858,90.0,31.622545,90.0,31.326052
10689900015142.0,1,C,3.19115612480256,0.4137805386054894,20.501955,19.24878,18.95199,18.672829,86.0,31.441925,86.0,31.57671,86.0,31.51341,80.0,31.192314
11012600262094.0,1,C,2.364202089208717,0.3539407792077491,21.729029,20.17638,19.022568,18.58738,90.0,31.219852,150.0,32.29122,90.0,31.657047,159.0,31.914589
10716200016835.0,2,C,2.705472397102354,0.2761174083883858,20.671152,19.43103,18.98455,18.687935,102.0,31.535355,80.0,31.583117,160.0,32.261192,282.0,32.62041
10741800038335.0,2,C,2.484105525631001,0.2768522048578244,20.036297,18.534836,18.153019,17.843231,90.0,31.585829,31.0,30.502758,160.0,32.26105,60.0,30.802557
10741800025032.0,1,C,3.01962366901934,0.4007004255363578,21.600237,20.292011,20.488895,19.376766,90.0,31.553963,30.0,30.504757,160.0,32.255623,66.0,30.953503
10934900082923.0,1,A,4.131102627581992,0.4899384136768094,20.575878,19.506168,18.971317000000003,18.694193,267.0,32.76434,267.0,32.90631,333.0,33.094303,333.0,32.76675
10882100246694.0,5,C,3.1724571448028653,0.991622283629716,20.812729,19.652565,18.725681,18.921238,300.0,32.791306,200.0,32.51109,80.0,31.430967,90.0,31.289188
10717100110818.0,2,C,3.501663302618012,0.3631076786365168,19.543974,18.475218,18.052994,17.783348,90.0,31.550343,30.0,30.520067,90.0,31.663216,56.0,30.830128
10639100120189.0,2,B,2.782829581832007,0.2683945251701956,21.185942,19.966713,19.535385,19.153282,86.0,31.441763,86.0,31.571127,86.0,31.52105,145.0,31.693361
10858600126832.0,1,C,3.143883501307113,0.4101458212610616,21.4628,20.684525,20.283258,20.101055,90.0,31.575993,100.0,31.81646,90.0,31.632572,62.0,30.964216
10717100022485.0,1,B,1.7505403029538729,0.316264878737204,20.05809,19.597271,19.402397,19.377512,90.0,31.56385,30.0,30.52156,90.0,31.658466,56.0,30.82649
10638000084558.0,1,C,2.7444834201373687,0.3803964411427755,20.150974,19.091478,18.89914,18.540405,119.0,31.651363,44.0,30.779907,90.0,31.675274,219.0,32.257538
10766600130018.0,1,B,1.7597829222630956,0.3167773971338365,20.613111,19.360867,18.908764,18.585194,90.0,31.51801,90.0,31.695162,90.0,31.602503,90.0,31.284615
10998500097244.0,2,C,3.480928883105909,0.9021451421821924,20.27731,19.04115,18.568508,18.357658,90.0,31.402145,100.0,31.83489,262.0,32.791183,90.0,31.29651
10651300109212.0,3,C,2.3003835304922817,0.2905635089412314,20.57057,19.103638,18.629951,18.28228,86.0,31.438786,86.0,31.57043,100.0,31.712822,124.0,31.553646
10753700102942.0,2,B,2.031880433754558,0.6518418743265111,21.550320000000003,19.809395,19.002367,18.450335,90.0,31.3688,90.0,31.58688,90.0,31.651318,90.0,31.28554
10959300194634.0,1,C,3.959203492424189,0.4755338925294799,21.45502,19.815676,19.25638,18.967232,90.0,31.481014,90.0,31.671219,150.0,32.2525,303.0,32.65634
10870200005749.0,1,C,3.783703356195901,0.4610245881478355,21.372684,20.356062,19.979275,19.77032,240.0,32.54227,120.0,31.938179,120.0,31.945919,78.0,31.166645
10975000004792.0,4,C,2.026929011890788,0.8537265908818494,19.153412,17.912083,17.459782,17.172342,96.0,31.486929,150.0,32.188553,90.0,31.65294,30.0,30.281605
10779900099074.0,3,C,4.438286908259968,0.8548721284818981,19.047354,18.385801,18.19606,18.072598,90.0,31.440048,90.0,31.590752,90.0,31.662466,63.0,30.95628
10680100054780.0,2,B,3.5221197140283724,0.4695320022345225,18.777363,17.93674,17.495544,17.38989,116.0,31.655043,44.0,30.825191,90.0,31.701143,112.0,31.5144
10960600223591.0,3,B,1.8813261874765228,0.3063163186290235,21.11136,19.468004,18.850315,18.537659,100.0,31.619669,100.0,31.827095,173.0,32.329926,90.0,31.37206
10793900098826.0,1,C,3.4096325284128803,0.4308543835080619,21.902824,20.80401,20.337746,20.447748,90.0,31.568321,30.0,30.536673,90.0,31.633371,56.0,30.836296
10628800104820.0,1,C,2.543252051829928,0.3661432369870723,19.816063,18.718433,18.362843,18.047476,83.0,31.361877,175.0,32.1649,166.0,32.295628,100.0,31.488674
10895100172646.0,3,B,2.098109937056112,0.2924904966609385,20.382679,19.18811,18.725216,18.459469,200.0,32.433815,160.0,32.339935,250.0,32.78208,160.0,32.018185
10676500074370.0,1,C,2.048163980534358,0.3336604814951622,20.877087,19.438866,18.920448,18.556206,94.0,31.371916,78.0,30.863337,200.0,32.459072,250.0,32.3754
11024800145812.0,3,B,3.1461836876571048,0.2732470683711025,19.976545,18.685026,18.186157,17.915459,100.0,31.546993,300.0,32.96741,148.0,32.153294,90.0,31.428848
10729100145842.0,1,C,3.2144783120555878,0.4155818429464374,21.342237,20.196785,19.748114,19.505676,90.0,31.569286,30.0,30.461098,160.0,32.228577,90.0,31.228058
10677400172687.0,1,C,2.300553459889942,0.3497213493885036,20.556026,18.858902,18.303387,17.962114,285.0,32.6901,257.0,32.717743,145.0,32.130558,117.0,31.509892
10716600181552.0,1,B,2.503716207290392,0.3634081843691552,18.593872,18.248556,18.141817,18.113821,90.0,31.550674,50.0,30.982279,210.0,32.575638,250.0,32.386627
10612400023426.0,2,B,2.321612945485932,0.29511328127065,21.228329,19.848198,19.42504,19.080793,68.0,31.227999,40.0,30.675995,150.0,32.112957,250.0,32.453114
10612900048103.0,1,A,2.67763430662001,0.375601936629571,18.808167,18.109978,17.764072,17.619978,86.0,31.436878,60.0,31.265388,80.0,31.53275,300.0,32.677414
10754800036034.0,1,C,2.979108736872032,0.3976561940433881,20.182095,18.808788,18.500797,18.268147,90.0,31.566402,30.0,30.460842,203.0,32.507645,56.0,30.863186
10727800185892.0,2,C,3.790585636601854,0.3940181134527098,18.71065,18.387547,18.404964,18.276798,90.0,31.52603,62.0,31.261732,90.0,31.646923,120.0,31.587076
10806500143012.0,1,B,3.016211425925108,0.4004433463785005,21.08603,19.58406,19.009737,18.699566,90.0,31.577866,31.0,30.514465,90.0,31.671314,56.0,30.85712
10704300114844.0,2,A,2.8201371706030334,0.4414949405522542,20.625248000000003,19.194544,18.139057,17.776194,177.0,31.846899,147.0,31.672756,60.0,31.038265,81.0,31.200466
10689400047378.0,3,C,2.736594962288328,0.3607117991838464,20.550844,19.473959,19.348484,18.916088,93.0,31.373251,40.0,30.692717,90.0,31.687387,80.0,31.227219
10831900068729.0,2,B,3.735344642940936,0.4501699902054323,19.504768,18.667366,18.269396,17.951726999999998,90.0,31.552307,30.0,30.47232,90.0,31.6915,157.0,32.07352
10717200029815.0,1,A,3.886229000701009,0.4694755781282937,20.492754,18.890299,18.312328,17.99944,350.0,33.020996,350.0,33.178352,350.0,33.14026,177.0,32.058975
10665000000189.0,7,C,3.9708304717084206,0.5323862108418943,18.875803,17.95872,17.63511,17.438179,160.0,32.132214,254.3812,32.377785,100.0,31.623081,88.0,31.120745
10666900098562.0,1,C,1.787626646032106,0.3183326094763776,20.699001000000003,19.681557,19.477835,19.258556,108.0,31.749237,50.0,30.99004,180.0,32.386955,80.0,31.194746
10986500070126.0,1,C,2.1131576849615605,0.3376890789100545,20.092209,19.015846,18.725822,18.438316,40.0,30.652252,40.0,30.821075,45.0,30.849104,171.0,32.072548
11049000093156.0,2,C,3.3079162891437823,0.5292701837185184,21.689587,20.38945,20.171583,19.672583,267.0,32.594013,100.0,31.829132,60.0,31.144238,333.0,32.040234
10625900034881.0,1,C,2.785768195831263,0.383385712317308,20.759163,19.218071,18.826164,18.601246,86.0,31.435823,60.0,31.268993,80.0,31.527279,120.0,31.686094
10639500045749.0,1,C,2.4916670208998783,0.3625791023078974,20.4253,19.199741,19.029188,18.515862,166.0,32.075874,150.0,32.34455,167.0,32.280476,146.0,31.791588
10894800088084.0,1,C,2.868395901686271,0.389431008637096,19.763,18.721802,18.311817,18.03742,300.0,32.78365,150.0,32.19945,60.0,31.172667,333.0,32.54357
10651900019069.0,1,C,2.163584493197575,0.3408673328320713,20.942467,19.332047,18.72004,18.359358,285.0,32.7044,86.0,31.5712,145.0,32.14125,148.0,31.897564
10818200082080.0,1,C,2.8396640687982417,0.3873196099298844,18.977215,18.11583,17.72693,17.461672,90.0,31.419373,90.0,31.61698,102.0,31.739422,30.0,30.165537
10690300147886.0,2,C,4.031690141260118,0.3271361416571485,21.490875,19.895388,18.817097,18.244003,86.0,31.445381,46.0,30.833645,86.0,31.512897,80.0,31.172771
10999000147319.0,1,C,3.9460083244977215,0.4744358512697509,21.080482,19.696186,19.11171,18.725231,267.0,32.59103,210.0,32.59807,333.0,33.007107,333.0,32.682484
10960500092922.0,2,B,2.1794706161912165,0.3596871374911543,20.874771,19.564304,19.27638,18.967793,100.0,31.623945,150.0,32.21935,80.0,31.450474,120.0,31.64929
11036500023524.0,2,B,2.694310616799157,0.6031158060653427,21.042734,19.639826,19.268202,18.82289,90.0,31.529556,200.0,30.002207,90.0,31.605974,90.0,31.298756
11036300285412.0,4,C,2.7921825838558694,0.3643421207289725,20.523045,19.82164,19.59403,19.718557,90.0,31.478674,90.0,31.667456,90.0,31.60145,90.0,31.382996
10718100031999.0,2,C,2.8864990623973945,1.1318483583839425,21.872444,20.482183,19.221802,18.613241,267.0,32.634697,267.0,32.81706,90.0,31.651249,51.0,30.729906
11024700221382.0,1,C,2.654959710128473,0.373988864304881,19.463627,18.354214,17.894169,17.689255,100.0,31.581003,300.0,32.938435,100.0,31.747149,90.0,31.38914
10792700011819.0,1,C,1.4205481492591043,0.2992643153528911,20.505856,19.181417,18.898373,18.619854,90.0,31.41956,30.0,30.444519,90.0,31.666157,63.0,30.956882
10933600149716.0,1,C,5.453848551698243,0.6056601359249347,21.115097,19.518684,18.949863,18.610653,267.0,32.652897,267.0,32.836937,333.0,33.04716,333.0,32.754192
10831900188043.0,1,C,1.5815575679761449,0.3072341182359573,19.927168,18.358438,18.021132,17.885292,180.0,32.278397,30.0,30.526115,180.0,32.40661,157.0,32.07925
10677500048019.0,1,B,2.534142243579679,0.365511051962797,20.819561,19.505783,19.10391,18.810007,285.0,32.706406,130.0,31.985832,145.0,32.154194,184.0,32.1209
10882100310989.0,2,C,2.126259967488874,0.6167392996389863,20.955673,19.771772,19.287123,18.999916,300.0,32.78532,150.0,32.200977,90.0,31.729063,129.0,31.6843
10868900086809.0,1,C,2.40026390122713,0.356359689015664,21.976297,20.907501,19.333593,18.880878,90.0,31.420221,30.0,30.526823,213.0,32.60227,162.0,31.931505
10625800034281.0,3,A,3.520534709441835,0.4979855849556992,21.28238,19.757704,18.644047,18.265743,86.0,31.436865,86.0,31.570759,80.0,31.527008,101.0,31.466715
10638200157125.0,1,B,2.6842445334379232,0.3760734597826783,22.304237,20.229855,20.121067,19.752937,74.0,31.122646,40.0,30.683317,90.0,31.648848,99.0,31.447794
10946600142981.0,2,C,2.205480203706152,0.403907773229216,21.712416,20.918762,19.35305,18.829313,90.0,31.488739,90.0,31.677029,150.0,32.25955,60.0,30.990612
10753300047930.0,1,B,1.958248038471078,0.3282177841034185,19.52981,18.912857,18.60007,18.391937,90.0,31.51725,62.0,31.247957,90.0,31.685524,73.0,31.078896
